,year,state_code,state_name,municipal_code,municipal_name,asset_affected,crime_type,crime_subtype,modality,january,feburary,march,april,may,june,july,august,september,october,november,december,geo-id,population,total_crime
273,2017,14,Jalisco,14001,Acatic,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
274,2017,14,Jalisco,14001,Acatic,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,1,1,2,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,0,21206,24.0
275,2017,14,Jalisco,14001,Acatic,El patrimonio,Despojo,Despojo,Despojo,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21206,2.0
277,2017,14,Jalisco,14001,Acatic,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,1,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0,21206,8.0
280,2017,14,Jalisco,14001,Acatic,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,1.0
284,2017,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21206,1.0
285,2017,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,1,0,0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0,21206,8.0
286,2017,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,21206,2.0
289,2017,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,2.0
293,2017,14,Jalisco,14001,Acatic,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21206,5.0
